Tensor_id,ActiveTime,InactiveTime
760,1,1298
761,1,1298
762,1,1298
763,1,1298
766,2,1297
768,3,1296
769,3,1296
770,950,349
771,4,1295
773,2,1297
774,1,1298
775,1,1298
776,953,346
777,953,346
778,1,1298
779,1,1298
780,1,1298
781,1,1298
784,2,1297
786,3,1296
787,3,1296
788,945,354
789,4,1295
791,2,1297
792,1,1298
793,1,1298
794,946,353
795,946,353
796,1,1298
797,1,1298
798,1,1298
799,1,1298
802,2,1297
803,939,360
804,2,1297
806,3,1296
807,20,1279
808,932,367
809,4,1295
811,2,1297
812,1,1298
813,1,1298
814,935,364
815,935,364
816,1,1298
817,1,1298
818,1,1298
819,1,1298
822,2,1297
824,3,1296
825,3,1296
826,925,374
827,4,1295
829,2,1297
830,1,1298
831,1,1298
832,928,371
833,928,371
834,1,1298
835,1,1298
836,1,1298
837,1,1298
840,2,1297
842,3,1296
843,3,1296
844,920,379
845,4,1295
847,2,1297
848,1,1298
849,1,1298
850,921,378
851,921,378
852,1,1298
853,1,1298
854,1,1298
855,1,1298
858,2,1297
859,914,385
860,2,1297
862,3,1296
863,20,1279
864,907,392
865,4,1295
867,2,1297
868,1,1298
869,1,1298
870,910,389
871,910,389
872,1,1298
873,1,1298
874,1,1298
875,1,1298
878,2,1297
880,3,1296
881,3,1296
882,900,399
883,4,1295
885,2,1297
886,1,1298
887,1,1298
888,903,396
889,903,396
890,1,1298
891,1,1298
892,1,1298
893,1,1298
896,2,1297
898,3,1296
899,3,1296
900,895,404
901,4,1295
903,2,1297
904,1,1298
905,1,1298
906,896,403
907,896,403
908,1,1298
909,1,1298
910,1,1298
911,1,1298
914,2,1297
915,889,410
916,2,1297
918,3,1296
919,20,1279
920,882,417
921,4,1295
923,2,1297
924,1,1298
925,1,1298
926,885,414
927,885,414
928,1,1298
929,1,1298
930,1,1298
931,1,1298
934,2,1297
936,3,1296
937,3,1296
938,875,424
939,4,1295
941,2,1297
942,1,1298
943,1,1298
944,878,421
945,878,421
946,1,1298
947,1,1298
948,1,1298
949,1,1298
952,2,1297
954,3,1296
955,3,1296
956,870,429
957,4,1295
959,2,1297
960,1,1298
961,1,1298
962,871,428
963,871,428
964,1,1298
965,1,1298
966,1,1298
967,1,1298
970,2,1297
971,864,435
972,2,1297
974,3,1296
975,20,1279
976,857,442
977,4,1295
979,2,1297
980,1,1298
981,1,1298
982,860,439
983,860,439
984,1,1298
985,1,1298
986,1,1298
987,1,1298
990,2,1297
992,3,1296
993,3,1296
994,850,449
995,4,1295
997,2,1297
998,1,1298
999,1,1298
1000,853,446
1001,853,446
1002,1,1298
1003,1,1298
1004,1,1298
1005,1,1298
1008,2,1297
1010,3,1296
1011,3,1296
1012,845,454
1013,4,1295
1015,2,1297
1016,1,1298
1017,1,1298
1018,846,453
1019,846,453
1020,1,1298
1021,1,1298
1022,1,1298
1023,1,1298
1026,2,1297
1027,839,460
1028,2,1297
1030,3,1296
1031,20,1279
1032,832,467
1033,4,1295
1035,2,1297
1036,1,1298
1037,1,1298
1038,835,464
1039,835,464
1040,1,1298
1041,1,1298
1042,1,1298
1043,1,1298
1046,2,1297
1048,3,1296
1049,3,1296
1050,825,474
1051,4,1295
1053,2,1297
1054,1,1298
1055,1,1298
1056,828,471
1057,828,471
1058,1,1298
1059,1,1298
1060,1,1298
1061,1,1298
1064,2,1297
1066,3,1296
1067,3,1296
1068,820,479
1069,4,1295
1071,2,1297
1072,1,1298
1073,1,1298
1074,821,478
1075,821,478
1076,1,1298
1077,1,1298
1078,1,1298
1079,1,1298
1082,2,1297
1083,814,485
1084,2,1297
1086,3,1296
1087,20,1279
1088,807,492
1089,4,1295
1091,2,1297
1092,1,1298
1093,1,1298
1094,810,489
1095,810,489
1096,1,1298
1097,1,1298
1098,1,1298
1099,1,1298
1102,2,1297
1104,3,1296
1105,3,1296
1106,800,499
1107,4,1295
1109,2,1297
1110,1,1298
1111,1,1298
1112,803,496
1113,803,496
1114,1,1298
1115,1,1298
1116,1,1298
1117,1,1298
1120,2,1297
1122,3,1296
1123,3,1296
1124,795,504
1125,4,1295
1127,2,1297
1128,1,1298
1129,1,1298
1130,796,503
