Tensor_id,ActiveTime,InactiveTime
908,4,1365
909,2,1367
910,517,852
911,3,1366
912,2,1367
913,2,1367
914,2,1367
915,514,855
916,2,1367
917,510,859
918,2,1367
919,3,1366
920,508,861
921,2,1367
922,507,862
923,9,1360
924,2,1367
925,2,1367
927,5,1364
928,2,1367
929,495,874
931,4,1365
932,2,1367
933,2,1367
935,4,1365
936,3,1366
937,490,879
939,4,1365
940,2,1367
941,486,883
942,2,1367
943,2,1367
945,3,1366
946,3,1366
947,2,1367
949,4,1365
950,2,1367
951,478,891
952,2,1367
953,13,1356
954,2,1367
955,3,1366
956,2,1367
957,475,894
958,2,1367
959,471,898
960,4,1365
961,2,1367
962,469,900
963,3,1366
964,2,1367
965,2,1367
966,2,1367
967,466,903
968,2,1367
969,462,907
970,2,1367
971,3,1366
972,460,909
973,2,1367
974,459,910
975,9,1360
976,2,1367
977,2,1367
978,5,1364
979,2,1367
980,447,922
982,4,1365
983,2,1367
984,2,1367
986,4,1365
987,3,1366
988,441,928
990,4,1365
991,2,1367
992,2,1367
993,4,1365
994,2,1367
995,436,933
996,5,1364
997,2,1367
998,432,937
999,3,1366
1000,575,794
1001,430,939
1002,2,1367
1003,425,944
1004,3,1366
1005,9,1360
1006,2,1367
1008,3,1366
1009,4,1365
1010,2,1367
1012,4,1365
1013,2,1367
1014,417,952
1015,2,1367
1016,22,1347
1017,2,1367
1018,3,1366
1019,2,1367
1020,414,955
1021,2,1367
1022,410,959
1023,4,1365
1024,2,1367
1025,408,961
1026,3,1366
1027,2,1367
1028,2,1367
1029,2,1367
1030,405,964
1031,2,1367
1032,401,968
1033,2,1367
1034,3,1366
1035,399,970
1036,2,1367
1037,398,971
1038,9,1360
1039,2,1367
1040,2,1367
1042,5,1364
1043,2,1367
1044,386,983
1046,4,1365
1047,2,1367
1048,2,1367
1050,4,1365
1051,3,1366
1052,381,988
1054,4,1365
1055,2,1367
1056,377,992
1057,2,1367
1058,2,1367
1060,3,1366
1061,3,1366
1062,2,1367
1064,4,1365
1065,2,1367
1066,369,1000
1067,2,1367
1068,13,1356
1069,2,1367
1070,3,1366
1071,2,1367
1072,366,1003
1073,2,1367
1074,362,1007
1075,4,1365
1076,2,1367
1077,360,1009
1078,3,1366
1079,2,1367
1080,2,1367
1081,2,1367
1082,357,1012
1083,2,1367
1084,353,1016
1085,2,1367
1086,3,1366
1087,351,1018
1088,2,1367
1089,350,1019
1090,9,1360
1091,2,1367
1092,2,1367
1094,5,1364
1095,2,1367
1096,338,1031
1098,4,1365
1099,2,1367
1100,2,1367
1102,4,1365
1103,3,1366
1104,332,1037
1106,4,1365
1107,2,1367
1108,2,1367
1109,4,1365
1110,2,1367
1111,327,1042
1112,5,1364
1113,2,1367
1114,323,1046
1115,3,1366
1116,646,723
1117,321,1048
1118,2,1367
1119,316,1053
1120,3,1366
1121,9,1360
1122,2,1367
1124,3,1366
1125,4,1365
1126,2,1367
1128,4,1365
1129,2,1367
1130,308,1061
1131,2,1367
1132,22,1347
1133,2,1367
1134,3,1366
1135,2,1367
1136,305,1064
1137,2,1367
1138,301,1068
1139,4,1365
1140,2,1367
1141,299,1070
1142,3,1366
1143,2,1367
1144,2,1367
1145,2,1367
1146,296,1073
1147,2,1367
1148,292,1077
1149,2,1367
1150,3,1366
1151,290,1079
1152,2,1367
1153,289,1080
1154,9,1360
1155,2,1367
1156,2,1367
1158,5,1364
1159,2,1367
1160,277,1092
1162,4,1365
1163,2,1367
1164,2,1367
1166,4,1365
1167,3,1366
1168,272,1097
1170,4,1365
1171,2,1367
1172,268,1101
1173,2,1367
1174,2,1367
1176,3,1366
1177,3,1366
1178,2,1367
1180,4,1365
1181,2,1367
1182,260,1109
1183,2,1367
1184,13,1356
1185,2,1367
1186,3,1366
1187,2,1367
1188,257,1112
1189,2,1367
1190,253,1116
1191,4,1365
1192,2,1367
1193,251,1118
1194,3,1366
1195,2,1367
1196,2,1367
1197,2,1367
1198,248,1121
1199,2,1367
1200,244,1125
1201,2,1367
1202,3,1366
1203,242,1127
1204,2,1367
1205,241,1128
1206,9,1360
1207,2,1367
1208,2,1367
1210,5,1364
1211,2,1367
1212,229,1140
1214,4,1365
1215,2,1367
1216,2,1367
1218,4,1365
1219,3,1366
1220,223,1146
1222,4,1365
1223,2,1367
1224,2,1367
1225,4,1365
1226,2,1367
1227,218,1151
1228,5,1364
1229,2,1367
1230,214,1155
1231,3,1366
1232,717,652
1233,212,1157
1234,2,1367
1235,207,1162
1236,3,1366
1237,9,1360
1238,2,1367
1240,3,1366
1241,4,1365
1242,2,1367
1244,4,1365
1245,2,1367
1246,199,1170
1247,2,1367
1248,22,1347
1249,2,1367
1250,3,1366
1251,2,1367
1252,196,1173
1253,2,1367
1254,192,1177
1255,4,1365
1256,2,1367
1257,190,1179
1258,3,1366
1259,2,1367
1260,2,1367
1261,2,1367
1262,187,1182
1263,2,1367
1264,183,1186
1265,2,1367
1266,3,1366
1267,181,1188
1268,2,1367
1269,180,1189
1270,9,1360
1271,2,1367
1272,2,1367
1274,5,1364
1275,2,1367
1276,168,1201
1278,4,1365
1279,2,1367
1280,2,1367
1282,4,1365
1283,3,1366
1284,163,1206
1286,4,1365
1287,2,1367
1288,159,1210
1289,2,1367
1290,2,1367
1292,3,1366
1293,3,1366
1294,2,1367
1296,4,1365
1297,2,1367
1298,151,1218
1299,2,1367
1300,13,1356
1301,2,1367
1302,3,1366
1303,2,1367
1304,148,1221
1305,2,1367
1306,144,1225
1307,4,1365
1308,2,1367
1309,142,1227
1310,3,1366
1311,2,1367
1312,2,1367
1313,2,1367
1314,139,1230
1315,2,1367
1316,135,1234
1317,2,1367
1318,3,1366
1319,133,1236
1320,2,1367
1321,132,1237
1322,9,1360
1323,2,1367
1324,2,1367
1326,5,1364
1327,2,1367
1328,120,1249
1330,4,1365
1331,2,1367
1332,2,1367
1334,4,1365
1335,3,1366
1336,114,1255
1338,4,1365
1339,2,1367
1340,2,1367
1341,4,1365
1342,2,1367
1343,109,1260
1344,5,1364
1345,2,1367
1346,105,1264
1347,3,1366
1348,788,581
1349,103,1266
1350,2,1367
1351,98,1271
1352,3,1366
1353,9,1360
1354,2,1367
1356,3,1366
1357,4,1365
1358,2,1367
1360,4,1365
1361,2,1367
1362,90,1279
1363,2,1367
1364,22,1347
1365,2,1367
1366,3,1366
1367,2,1367
1368,87,1282
1369,2,1367
1370,83,1286
1371,4,1365
1372,2,1367
1373,81,1288
1374,3,1366
1375,2,1367
1376,2,1367
1377,2,1367
1378,78,1291
1379,2,1367
1380,74,1295
1381,2,1367
1382,3,1366
1383,72,1297
1384,2,1367
1385,71,1298
1386,9,1360
1387,2,1367
1388,2,1367
1390,5,1364
1391,2,1367
1392,59,1310
1394,4,1365
1395,2,1367
1396,2,1367
1398,4,1365
1399,3,1366
1400,54,1315
1402,4,1365
1403,2,1367
1404,50,1319
1405,2,1367
1406,2,1367
1408,3,1366
1409,3,1366
1410,2,1367
1412,4,1365
1413,2,1367
1414,42,1327
1415,2,1367
1416,13,1356
1417,2,1367
1418,3,1366
1419,2,1367
1420,39,1330
1421,2,1367
1422,35,1334
1423,4,1365
1424,2,1367
1425,33,1336
1426,3,1366
1427,2,1367
1428,2,1367
1429,2,1367
1430,30,1339
1431,2,1367
1432,26,1343
1433,2,1367
1434,3,1366
1435,24,1345
1436,2,1367
1437,23,1346
1438,9,1360
1439,2,1367
1440,2,1367
1442,5,1364
1443,2,1367
1444,13,1356
1446,4,1365
1447,2,1367
1448,9,1360
1450,3,1366
1451,2,1367
1452,2,1367
1454,3,1366
1455,3,1366
1456,4,1365
1458,4,1365
1459,2,1367
1460,2,1367
1461,2,1367
1462,2,1367
